datee;PriceUSD;Percentage
2011-05-18;6.763163362;-6.807531962
2011-05-19;6.890143632;1.877527766
2011-05-20;5.618096219;-18.46184175
2011-05-21;6.084800667;8.307163685
2011-05-22;6.71195604;10.30691729
2011-05-23;7.065256784;5.263752354
2011-05-24;7.402660582;4.775534828
2011-05-25;8.569289637;15.75959133
2011-05-26;8.782155434;2.484054177
2011-05-27;8.528658468;-2.886500564
2011-05-28;8.34926912;-2.103371228
2011-05-29;8.400953472;0.619028464
2011-05-30;8.779342465;4.504119606
2011-05-31;8.721576422;-0.657976869
2011-06-01;9.623777232;10.34446947
2011-06-02;10.70276023;11.21163728
2011-06-03;14.26464677;33.28007421
2011-06-04;18.31273873;28.37849416
2011-06-05;16.5433424;-9.662106559
2011-06-06;18.40209864;11.23567537
2011-06-07;23.23787846;26.27841483
2011-06-08;29.02992133;24.92500713
2011-06-09;28.79054402;-0.82458821
2011-06-10;24.04939923;-16.46771519
2011-06-11;14.74974663;-38.66896014
2011-06-12;18.85014473;27.79978671
2011-06-13;19.54232911;3.6720375
2011-06-14;19.25773551;-1.456293195
2011-06-15;19.46414262;1.07181407
2011-06-16;17.92936254;-7.885166644
2011-06-17;15.43636891;-13.9045302
2011-06-18;16.87540454;9.322371281
2011-06-19;17.51071679;3.764723119
2011-06-20;17.51071679;0
2011-06-21;17.51071679;0
2011-06-22;17.51071679;0
2011-06-23;17.51071679;0
2011-06-24;17.51071679;0
2011-06-25;17.51071679;0
2011-06-26;16.36134202;-6.563836245
2011-06-27;16.75228581;2.389436008
2011-06-28;16.96183531;1.250871052
2011-06-29;16.85456832;-0.63240202
2011-06-30;16.18526278;-3.971063064
2011-07-01;15.4203574;-4.725937367
2011-07-02;15.38284407;-0.243271467
2011-07-03;15.45755056;0.485648106
2011-07-04;13.85279681;-10.38168203
2011-07-05;12.96481771;-6.410106996
2011-07-06;14.71478358;13.49780542
2011-07-07;14.79728916;0.560698549
2011-07-08;14.2990377;-3.367180697
2011-07-09;14.38150067;0.576702954
2011-07-10;14.62293755;1.678801725
2011-07-11;14.31015543;-2.138982793
2011-07-12;14.02127262;-2.018725882
2011-07-13;13.97145452;-0.35530369
2011-07-14;13.99797455;0.189815778
2011-07-15;13.80639041;-1.368656168
2011-07-16;13.7130793;-0.675854468
2011-07-17;13.25813531;-3.317591756
2011-07-18;13.63052125;2.808735397
2011-07-19;13.82479484;1.425283631
2011-07-20;13.67833059;-1.059431611
2011-07-21;13.61180844;-0.486332376
2011-07-22;13.69854733;0.637232662
2011-07-23;13.68171834;-0.122852359
2011-07-24;13.99251518;2.271621343
2011-07-25;14.03342538;0.292372041
2011-07-26;13.87803232;-1.107306672
2011-07-27;13.87822476;0.001386594
2011-07-28;13.49159108;-2.785901556
2011-07-29;13.51231639;0.153616533
2011-07-30;13.54028067;0.206954033
2011-07-31;13.3729061;-1.236123354
2011-08-01;13.01911385;-2.645589917
2011-08-02;12.21415644;-6.182889384
2011-08-03;9.286356914;-23.97054222
2011-08-04;10.76850375;15.96047673
2011-08-05;9.73015396;-9.642470419
2011-08-06;6.964169736;-28.42693174
2011-08-07;8.501793292;22.07906491
2011-08-08;7.775337638;-8.544734379
2011-08-09;9.802499481;26.07168894
2011-08-10;10.05125313;2.537655288
2011-08-11;9.438412995;-6.097151518
2011-08-12;9.452993285;0.1544782
2011-08-13;10.00402474;5.829174345
2011-08-14;10.80682077;8.02473047
2011-08-15;11.13069655;2.996957111
2011-08-16;10.99196557;-1.246381863
2011-08-17;10.96396406;-0.254745256
2011-08-18;10.85847146;-0.962175721
2011-08-19;11.67047304;7.478046893
2011-08-20;11.45973174;-1.805764883
2011-08-21;11.35448134;-0.918436845
2011-08-22;10.92089582;-3.818628989
2011-08-23;10.91724505;-0.03342922
2011-08-24;10.87044429;-0.42868658
2011-08-25;9.546093674;-12.18304037
2011-08-26;8.126920163;-14.86653661
2011-08-27;8.596497607;5.778049177
2011-08-28;9.0308664;5.052857722
2011-08-29;8.961157271;-0.771898576
2011-08-30;8.809948738;-1.687377287
2011-08-31;8.199151764;-6.933036637
2011-09-01;8.234281665;0.428457744
2011-09-02;8.621424438;4.7015974
2011-09-03;8.449653441;-1.992373747
2011-09-04;8.203470602;-2.913525864
2011-09-05;7.597332525;-7.388800503
2011-09-06;6.846530029;-9.88244879
2011-09-07;7.162970274;4.621906911
2011-09-08;6.67818;-6.768006214
2011-09-09;4.986777042;-25.32730412
2011-09-10;4.742846655;-4.891543868
2011-09-11;5.852903973;23.40487471
2011-09-12;6.090629472;4.061667521
2011-09-13;5.802523277;-4.73031887
2011-09-14;5.59743261;-3.5345083
2011-09-15;4.867755185;-13.03593051
2011-09-16;4.831168101;-0.751621287
2011-09-17;4.775285635;-1.156707116
2011-09-18;5.236732278;9.663225996
2011-09-19;5.520376692;5.416439083
2011-09-20;6.146665552;11.34503848
2011-09-21;5.597067498;-8.941401629
2011-09-22;5.475048777;-2.180047342
2011-09-23;5.56342142;1.614097819
2011-09-24;5.457889687;-1.896885466
2011-09-25;5.341154881;-2.138826775
2011-09-26;4.873826081;-8.749583386
2011-09-27;4.911157793;0.76596314
2011-09-28;4.763415321;-3.008302264
2011-09-29;4.777660978;0.299063927
2011-09-30;5.14368591;7.661174229
2011-10-01;5.034070545;-2.131066461
2011-10-02;5.007062597;-0.536503169
2011-10-03;5.02284486;0.315200046
2011-10-04;4.956805621;-1.31477761
2011-10-05;4.885067131;-1.447272604
2011-10-06;4.730166296;-3.170904944
2011-10-07;4.276035757;-9.600730936
2011-10-08;3.981252994;-6.893832968
2011-10-09;4.111634643;3.274889828
2011-10-10;4.074962484;-0.891911922
2011-10-11;4.008924496;-1.620579043
2011-10-12;4.166235342;3.924016198
2011-10-13;4.03698109;-3.102423216
2011-10-14;3.986280885;-1.255894031
2011-10-15;3.83733856;-3.736373056
2011-10-16;3.609741717;-5.931111899
2011-10-17;2.581246722;-28.49220458
2011-10-18;2.422274738;-6.158728737
2011-10-19;2.217254713;-8.463945972
2011-10-20;2.356123508;6.263096189
2011-10-21;2.570092305;9.081391355
2011-10-22;3.155486139;22.7771521
2011-10-23;3.14775093;-0.245135244
2011-10-24;2.522935998;-19.84956708
2011-10-25;2.801923831;11.05806226
2011-10-26;2.777505239;-0.871493785
2011-10-27;3.045407828;9.64543954
2011-10-28;3.179639437;4.407672686
2011-10-29;3.569188969;12.25137441
2011-10-30;3.257403723;-8.735464793
2011-10-31;3.265098213;0.236215417
2011-11-01;3.171007743;-2.881704126
2011-11-02;3.255800567;2.67400242
2011-11-03;3.168316385;-2.687025193
2011-11-04;3.120118172;-1.521256322
2011-11-05;2.977817598;-4.56074309
2011-11-06;2.962720577;-0.506982733
2011-11-07;3.017757687;1.857654444
2011-11-08;3.056567111;1.286035121
2011-11-09;2.919567224;-4.482148836
2011-11-10;2.856702085;-2.153234836
2011-11-11;3.067861733;7.391728008
2011-11-12;3.025522996;-1.380073199
2011-11-13;2.986373303;-1.293980995
2011-11-14;2.224224464;-25.52088308
2011-11-15;2.322384116;4.413207972
2011-11-16;2.546780931;9.662347133
2011-11-17;2.279095836;-10.51072323
2011-11-18;2.105066003;-7.635915516
2011-11-19;2.203456722;4.673996845
2011-11-20;2.20198951;-0.066586838
2011-11-21;2.279879165;3.537240092
2011-11-22;2.322458596;1.867617872
2011-11-23;2.330323568;0.338648507
2011-11-24;2.438879;4.658384539
2011-11-25;2.496161003;2.348702114
2011-11-26;2.471799969;-0.975940008
2011-11-27;2.477564951;0.233230126
2011-11-28;2.541240252;2.570075952
2011-11-29;2.757698483;8.517818431
2011-11-30;2.966041546;7.554961662
2011-12-01;3.08258945;3.929409024
2011-12-02;3.100402333;0.577854541
2011-12-03;2.803856185;-9.564763408
2011-12-04;2.819693976;0.564857458
2011-12-05;2.874796227;1.95419261
2011-12-06;3.025360451;5.237387704
2011-12-07;2.985502421;-1.317463854
2011-12-08;2.991880483;0.213634459
2011-12-09;2.955791952;-1.206215662
2011-12-10;3.068975267;3.829204384
2011-12-11;3.249268847;5.874715968
2011-12-12;3.187335357;-1.906074676
2011-12-13;3.241088409;1.68645737
2011-12-14;3.155086504;-2.653488375
2011-12-15;3.203138541;1.52300218
2011-12-16;3.209137777;0.187292452
2011-12-17;3.192541704;-0.517150531
2011-12-18;3.194010809;0.046016771
2011-12-19;3.525773919;10.38703781
2011-12-20;3.952550827;12.10448877
2011-12-21;3.888993251;-1.608014149
2011-12-22;3.903060421;0.361717516
2011-12-23;3.937965076;0.894289396
2011-12-24;3.939419119;0.036923706
2011-12-25;4.233866878;7.474395345
2011-12-26;3.999121964;-5.544456653
2011-12-27;4.095518546;2.41044366
2011-12-28;4.207295876;2.72925953
2011-12-29;4.173352227;-0.806780657
2011-12-30;4.31063509;3.289510585
2011-12-31;4.714306331;9.364542183
2012-01-01;5.294842777;12.3143556
2012-01-02;5.204877892;-1.699104
2012-01-03;4.870508829;-6.424148079
2012-01-04;5.585706267;14.68424478
2012-01-05;6.874000877;23.06413099
2012-01-06;6.68331664;-2.773992042
2012-01-07;6.796227981;1.689450715
2012-01-08;7.096650566;4.420431252
2012-01-09;6.288538342;-11.38723425
2012-01-10;6.528474555;3.815452808
2012-01-11;6.889127721;5.524309897
2012-01-12;6.773564196;-1.67747689
2012-01-13;6.45436889;-4.712368503
2012-01-14;6.761727143;4.762018684
2012-01-15;7.046922558;4.217789472
2012-01-16;6.715607667;-4.701554315
2012-01-17;5.59962195;-16.61779204
2012-01-18;5.900231288;5.368386303
2012-01-19;6.315706342;7.041674016
2012-01-20;6.501491988;2.941644792
2012-01-21;6.180568326;-4.936154091
2012-01-22;6.302967227;1.980382625
2012-01-23;6.374876077;1.140872986
2012-01-24;6.274476476;-1.574926323
2012-01-25;5.810465072;-7.395221021
2012-01-26;5.367226954;-7.628272652
2012-01-27;5.303137197;-1.194094418
2012-01-28;5.659796775;6.725445048
2012-01-29;5.391429457;-4.741642294
2012-01-30;5.503481939;2.078344569
2012-01-31;5.538220296;0.631206888
2012-02-01;6.075232652;9.696478794
2012-02-02;6.099572913;0.400647384
2012-02-03;5.951610928;-2.425776157
2012-02-04;5.895413239;-0.944243318
2012-02-05;5.678115717;-3.685874308
2012-02-06;5.482664058;-3.442192242
2012-02-07;5.6620277;3.271468757
2012-02-08;5.61852819;-0.768267351
2012-02-09;5.835699854;3.865276757
2012-02-10;5.937834155;1.750163714
2012-02-11;5.612132853;-5.485186916
2012-02-12;5.519097169;-1.657759826
2012-02-13;5.348354559;-3.093669217
2012-02-14;4.483654092;-16.16759805
2012-02-15;4.325520322;-3.52689495
2012-02-16;4.255239045;-1.624805152
2012-02-17;4.391538373;3.203094502
2012-02-18;4.270081278;-2.765707252
2012-02-19;4.389551458;2.797843245
2012-02-20;4.365135939;-0.556219001
2012-02-21;4.315115602;-1.145905595
2012-02-22;4.419310288;2.414644129
2012-02-23;5.039515118;14.03397341
2012-02-24;5.025608759;-0.275946372
2012-02-25;4.772567381;-5.035039335
2012-02-26;4.926420852;3.223704522
2012-02-27;4.952515756;0.529692966
2012-02-28;4.857257776;-1.923426101
2012-02-29;4.872748756;0.318924398
2012-03-01;4.922072124;1.012228834
2012-03-02;4.714823587;-4.21059528
2012-03-03;4.628193252;-1.837403521
2012-03-04;4.834144482;4.449927172
2012-03-05;4.982392904;3.066694072
2012-03-06;4.987841352;0.109354053
2012-03-07;4.949112885;-0.776457492
2012-03-08;4.934979495;-0.2855742
2012-03-09;4.872297847;-1.270150112
2012-03-10;4.841423805;-0.633664928
2012-03-11;4.892028752;1.045249267
2012-03-12;4.910839379;0.384515886
2012-03-13;5.290880279;7.738817545
2012-03-14;5.390543292;1.88367546
2012-03-15;5.340820899;-0.922400408
2012-03-16;5.339574791;-0.02333176
2012-03-17;5.236003554;-1.939690731
2012-03-18;5.270148985;0.652127734
2012-03-19;4.678672553;-11.22314443
2012-03-20;4.830830216;3.252154572
2012-03-21;4.817229525;-0.281539421
